,,snapshot saving frequency = 0,,,,,,snapshot saving frequency = 1/25,,,,
,,Kx,Ky,mpi tasks,n threads,time,,Kx,Ky,mpi tasks,n threads,time
,,15000,15000,5,64,6.46899,,15000,15000,5,64,18.2383
,,15000,15000,5,64,6.20937,,15000,15000,5,64,18.7818
,,15000,15000,5,64,6.23542,,15000,15000,5,64,19.0223
,,15000,15000,5,64,6.20414,,15000,15000,5,64,18.353
,,15000,15000,5,64,6.13038,,15000,15000,5,64,18.8246
,,15000,15000,5,64,6.54552,,15000,15000,5,64,18.9204
,,15000,15000,5,64,6.36174,,15000,15000,5,64,18.2155
,,15000,15000,5,64,6.27553,,15000,15000,6,64,17.1363
,,15000,15000,5,64,7.25812,,15000,15000,6,64,17.4406
,,15000,15000,5,64,6.4243,,15000,15000,6,64,17.3444
,,15000,15000,6,64,4.29083,,15000,15000,6,64,17.6346
,,15000,15000,6,64,3.4477,,15000,15000,6,64,17.5656
,,15000,15000,6,64,4.27437,,15000,15000,6,64,17.6884
,,15000,15000,6,64,4.3022,,15000,15000,6,64,17.4204
,,15000,15000,6,64,3.56005,,15000,15000,6,64,17.549
,,15000,15000,6,64,4.54858,,15000,15000,6,64,17.6025
,,15000,15000,6,64,3.49101,,15000,15000,6,64,17.6569
,,15000,15000,6,64,3.47724,,,,,,
,,15000,15000,6,64,4.43029,,,,,,
,,15000,15000,6,64,4.10031,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MPI_STRONG,single thread,10000,10000,1,1,256.193,,10000,10000,1,1,258.866
,--map-by core,10000,10000,1,1,256.324,,10000,10000,1,1,258.871
,,10000,10000,1,1,256.222,,10000,10000,1,1,258.149
,,10000,10000,1,1,256.429,,10000,10000,1,1,258.321
,,10000,10000,32,1,8.75364,,10000,10000,1,1,257.984
,,10000,10000,32,1,8.75144,,10000,10000,1,1,258.069
,,10000,10000,32,1,8.76076,,10000,10000,1,1,258.136
,,10000,10000,32,1,8.749,,10000,10000,1,1,258.185
,,10000,10000,64,1,4.86807,,10000,10000,1,1,258.065
,,10000,10000,64,1,4.9185,,10000,10000,1,1,257.886
,,10000,10000,64,1,4.90447,,10000,10000,64,1,12.7571
,,10000,10000,64,1,7.4328,,10000,10000,64,1,11.9116
,,10000,10000,128,1,2.75592,,10000,10000,64,1,12.4544
,,10000,10000,128,1,2.77007,,10000,10000,64,1,12.4633
,,10000,10000,128,1,2.78883,,10000,10000,64,1,11.9195
,,10000,10000,128,1,2.79324,,10000,10000,64,1,11.9291
,,10000,10000,192,1,2.11429,,10000,10000,64,1,11.9698
,,10000,10000,192,1,2.0923,,10000,10000,64,1,12.5025
,,10000,10000,192,1,2.12816,,10000,10000,64,1,12.008
,,10000,10000,192,1,2.12602,,10000,10000,64,1,12.425
,,10000,10000,256,1,1.73913,,10000,10000,128,1,10.0566
,,10000,10000,256,1,1.74395,,10000,10000,128,1,10.0296
,,10000,10000,256,1,1.75399,,10000,10000,128,1,10.2941
,,10000,10000,256,1,1.75831,,10000,10000,128,1,10.1723
,,10000,10000,320,1,3.15519,,10000,10000,128,1,10.1114
,,10000,10000,320,1,3.26185,,10000,10000,128,1,9.91581
,,10000,10000,320,1,3.16357,,10000,10000,192,1,9.07731
,,10000,10000,320,1,3.21579,,10000,10000,192,1,9.3479
,,10000,10000,384,1,1.40832,,10000,10000,192,1,9.15369
,,10000,10000,384,1,1.40152,,10000,10000,192,1,8.95891
,,10000,10000,384,1,1.41235,,10000,10000,192,1,9.08972
,,10000,10000,384,1,1.41424,,10000,10000,192,1,9.33099
,,15000,15000,1,1,576.716,,10000,10000,192,1,9.32972
,,15000,15000,1,1,576.909,,10000,10000,192,1,9.12019
,,15000,15000,1,1,576.855,,10000,10000,192,1,9.17688
,,15000,15000,1,1,576.732,,10000,10000,192,1,9.37277
,,15000,15000,32,1,19.8322,,10000,10000,256,1,8.69423
,,15000,15000,32,1,19.8925,,10000,10000,256,1,8.89529
,,15000,15000,32,1,19.8375,,10000,10000,256,1,8.81797
,,15000,15000,32,1,20.0997,,10000,10000,256,1,9.17387
,,15000,15000,64,1,11.1069,,10000,10000,256,1,9.19027
,,15000,15000,64,1,11.5658,,10000,10000,256,1,8.68767
,,15000,15000,64,1,11.3041,,10000,10000,256,1,8.72871
,,15000,15000,64,1,11.5882,,10000,10000,256,1,8.69327
,,15000,15000,128,1,6.33076,,10000,10000,256,1,9.22854
,,15000,15000,128,1,6.76285,,10000,10000,256,1,8.6469
,,15000,15000,128,1,6.56733,,10000,10000,320,1,10.8536
,,15000,15000,128,1,6.38703,,10000,10000,320,1,10.7844
,,15000,15000,192,1,4.84881,,10000,10000,320,1,10.7315
,,15000,15000,192,1,5.04921,,10000,10000,320,1,10.9449
,,15000,15000,192,1,4.85766,,10000,10000,320,1,10.8968
,,15000,15000,192,1,5.24778,,10000,10000,320,1,10.5157
,,15000,15000,256,1,8.88157,,10000,10000,320,1,10.3842
,,15000,15000,256,1,8.90122,,10000,10000,320,1,10.3073
,,15000,15000,256,1,8.94707,,10000,10000,320,1,10.4447
,,15000,15000,256,1,8.98842,,10000,10000,320,1,10.4357
,,15000,15000,320,1,13.2462,,10000,10000,384,1,8.77011
,,15000,15000,320,1,13.2779,,10000,10000,384,1,8.50638
,,15000,15000,320,1,13.35,,10000,10000,384,1,8.35662
,,15000,15000,320,1,13.3511,,10000,10000,384,1,10.3699
,,15000,15000,384,1,3.38438,,10000,10000,384,1,8.53864
,,15000,15000,384,1,3.20264,,10000,10000,384,1,9.24204
,,15000,15000,384,1,3.20698,,10000,10000,384,1,8.59447
,,15000,15000,384,1,3.20141,,10000,10000,384,1,8.55161
,,,,,,,,10000,10000,384,1,8.3979
,,,,,,,,10000,10000,384,1,8.39297
,,,,,,,,15000,15000,1,1,581.371
,,,,,,,,15000,15000,1,1,581.759
,,,,,,,,15000,15000,1,1,581.41
,,,,,,,,15000,15000,1,1,581.046
,,,,,,,,15000,15000,1,1,581.552
,,,,,,,,15000,15000,1,1,580.73
,,,,,,,,15000,15000,1,1,581.055
,,,,,,,,15000,15000,1,1,581.27
,,,,,,,,15000,15000,1,1,581.338
,,,,,,,,15000,15000,1,1,581.583
,,,,,,,,15000,15000,64,1,27.2017
,,,,,,,,15000,15000,64,1,28.8242
,,,,,,,,15000,15000,64,1,28.0592
,,,,,,,,15000,15000,64,1,27.3942
,,,,,,,,15000,15000,64,1,27.5569
,,,,,,,,15000,15000,64,1,27.855
,,,,,,,,15000,15000,64,1,27.2255
,,,,,,,,15000,15000,64,1,28.149
,,,,,,,,15000,15000,64,1,27.7342
,,,,,,,,15000,15000,64,1,27.612
,,,,,,,,15000,15000,128,1,22.6402
,,,,,,,,15000,15000,128,1,23.9298
,,,,,,,,15000,15000,128,1,24.1787
,,,,,,,,15000,15000,128,1,24.8354
,,,,,,,,15000,15000,128,1,22.658
,,,,,,,,15000,15000,128,1,26.0097
,,,,,,,,15000,15000,128,1,23.3346
,,,,,,,,15000,15000,128,1,29.9321
,,,,,,,,15000,15000,128,1,32.9851
,,,,,,,,15000,15000,128,1,22.9527
,,,,,,,,15000,15000,192,1,19.9617
,,,,,,,,15000,15000,192,1,20.9621
,,,,,,,,15000,15000,192,1,20.4903
,,,,,,,,15000,15000,192,1,20.2017
,,,,,,,,15000,15000,192,1,20.5696
,,,,,,,,15000,15000,192,1,21.6903
,,,,,,,,15000,15000,192,1,20.8384
,,,,,,,,15000,15000,192,1,21.607
,,,,,,,,15000,15000,192,1,21.119
,,,,,,,,15000,15000,192,1,20.3432
,,,,,,,,15000,15000,256,1,24.5342
,,,,,,,,15000,15000,256,1,25.1902
,,,,,,,,15000,15000,256,1,25.1171
,,,,,,,,15000,15000,256,1,24.3695
,,,,,,,,15000,15000,256,1,25.2806
,,,,,,,,15000,15000,256,1,25.0421
,,,,,,,,15000,15000,256,1,24.9662
,,,,,,,,15000,15000,256,1,24.401
,,,,,,,,15000,15000,256,1,26.0133
,,,,,,,,15000,15000,256,1,25.3763
,,,,,,,,15000,15000,320,1,28.315
,,,,,,,,15000,15000,320,1,29.4607
,,,,,,,,15000,15000,320,1,28.7031
,,,,,,,,15000,15000,320,1,28.6657
,,,,,,,,15000,15000,320,1,29.1061
,,,,,,,,15000,15000,320,1,29.1711
,,,,,,,,15000,15000,320,1,29.6948
,,,,,,,,15000,15000,320,1,30.3532
,,,,,,,,15000,15000,320,1,31.5537
,,,,,,,,15000,15000,320,1,29.1771
,,,,,,,,15000,15000,384,1,19.017
,,,,,,,,15000,15000,384,1,18.91
,,,,,,,,15000,15000,384,1,19.2709
,,,,,,,,15000,15000,384,1,19.5742
,,,,,,,,15000,15000,384,1,19.6988
,,,,,,,,15000,15000,384,1,18.9737
,,,,,,,,15000,15000,384,1,19.7767
,,,,,,,,15000,15000,384,1,18.8484
,,,,,,,,15000,15000,384,1,18.8312
,,,,,,,,15000,15000,384,1,18.7144
,,,,,,,,,,,,
,,,,,,,,,,,,
MPI_WEAK,nthreads=64,12500,12500,1,64,11.59,,12500,12500,1,64,21.2483
,--map-by socket,12500,12500,1,64,10.2167,,12500,12500,1,64,20.4455
,,12500,12500,1,64,10.2088,,12500,12500,1,64,20.3796
,,12500,12500,1,64,11.4857,,12500,12500,1,64,26.0817
,,12500,12500,1,64,10.0651,,12500,12500,1,64,20.4407
,,12500,12500,1,64,10.203,,12500,12500,1,64,20.8206
,,12500,12500,1,64,10.0412,,12500,12500,1,64,23.0077
,,12500,12500,1,64,11.6674,,12500,12500,1,64,20.687
,,12500,12500,1,64,9.87884,,12500,12500,1,64,22.6318
,,17677,17677,2,64,13.1721,,12500,12500,1,64,23.0399
,,17677,17677,2,64,13.6256,,17677,17677,2,64,34.9761
,,17677,17677,2,64,14.2341,,17677,17677,2,64,32.6114
,,17677,17677,2,64,13.9904,,17677,17677,2,64,32.8404
,,17677,17677,2,64,13.7859,,17677,17677,2,64,32.8858
,,21650,21650,3,64,14.5872,,17677,17677,2,64,33.049
,,21650,21650,3,64,15.3873,,17677,17677,2,64,36.5191
,,21650,21650,3,64,15.1863,,17677,17677,2,64,32.2246
,,21650,21650,3,64,15.2148,,17677,17677,2,64,31.7275
,,21650,21650,3,64,14.7546,,17677,17677,2,64,33.0034
,,21650,21650,3,64,15.4947,,17677,17677,2,64,35.1721
,,21650,21650,3,64,14.5269,,21650,21650,3,64,42.9911
,,21650,21650,3,64,14.6352,,21650,21650,3,64,42.811
,,21650,21650,3,64,14.7532,,21650,21650,3,64,43.6354
,,21650,21650,3,64,14.8221,,21650,21650,3,64,44.6569
,,25000,25000,4,64,12.3908,,21650,21650,3,64,42.2523
,,25000,25000,4,64,15.0834,,21650,21650,3,64,42.3046
,,25000,25000,4,64,14.9981,,21650,21650,3,64,45.2631
,,25000,25000,4,64,15.3188,,21650,21650,3,64,43.0593
,,25000,25000,4,64,15.1288,,21650,21650,3,64,42.3825
,,25000,25000,4,64,15.0798,,21650,21650,3,64,42.966
,,25000,25000,4,64,15.0484,,25000,25000,4,64,49.0073
,,25000,25000,4,64,14.7688,,25000,25000,4,64,49.3827
,,27950,27950,5,64,12.654,,25000,25000,4,64,49.7966
,,27950,27950,5,64,11.8475,,25000,25000,4,64,49.9893
,,27950,27950,5,64,12.8916,,25000,25000,4,64,50.1993
,,27950,27950,5,64,12.9497,,25000,25000,4,64,50.8364
,,27950,27950,5,64,13.0574,,25000,25000,4,64,50.727
,,27950,27950,5,64,15.4528,,25000,25000,4,64,51.0476
,,27950,27950,5,64,12.6767,,25000,25000,4,64,51.2626
,,30618,30618,6,64,13.4081,,25000,25000,4,64,51.0728
,,30618,30618,6,64,13.538,,27950,27950,5,64,61.739
,,30618,30618,6,64,13.3761,,27950,27950,5,64,60.765
,,30618,30618,6,64,11.8678,,27950,27950,5,64,60.9156
,,30618,30618,6,64,11.5298,,27950,27950,5,64,61.0025
,,30618,30618,6,64,11.86,,27950,27950,5,64,61.9765
,,30618,30618,6,64,11.4648,,27950,27950,5,64,61.4643
,,30618,30618,6,64,13.584,,27950,27950,5,64,60.9616
,,30618,30618,6,64,11.766,,27950,27950,5,64,60.4777
,,,,,,,,27950,27950,5,64,60.7327
,,,,,,,,27950,27950,5,64,58.8615
,,,,,,,,30618,30618,6,64,67.9931
,,,,,,,,30618,30618,6,64,69.7773
,,,,,,,,30618,30618,6,64,70.3318
,,,,,,,,30618,30618,6,64,69.2926
,,,,,,,,30618,30618,6,64,68.9384
,,,,,,,,30618,30618,6,64,68.5648
,,,,,,,,30618,30618,6,64,69.4054
,,,,,,,,30618,30618,6,64,71.0077
,,,,,,,,30618,30618,6,64,68.7851
,,,,,,,,30618,30618,6,64,68.5389
